image_path,label_path,sequence_id,split,width,height,object_count,plastic_count,bio_count,rov_count
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000001_26531030_72330e1831.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000001_26531030_72330e1831.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000003_20525094_2c1da4b62b.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000003_20525094_2c1da4b62b.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000004_23306383_5e255820f2.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000004_23306383_5e255820f2.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000005_44670636_a0eaad49cc.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000005_44670636_a0eaad49cc.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000007_22422367_f1ee3c2293.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000007_22422367_f1ee3c2293.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000009_90558145_8d35107b50.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000009_90558145_8d35107b50.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000011_3247454_f0928491f6.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000011_3247454_f0928491f6.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000013_6771249_f966a5c1fa.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000013_6771249_f966a5c1fa.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000015_56507957_be38e17c2f.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000015_56507957_be38e17c2f.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000017_21171376_62c2137921.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000017_21171376_62c2137921.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000019_76795079_2ffb75eb5b.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000019_76795079_2ffb75eb5b.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000021_49409347_4ed12f597f.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000021_49409347_4ed12f597f.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000023_85283524_d9aef34c39.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000023_85283524_d9aef34c39.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000025_18430682_5b9f42009b.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000025_18430682_5b9f42009b.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000027_92524350_379f521026.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000027_92524350_379f521026.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000029_99153788_dbc25dbb92.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000029_99153788_dbc25dbb92.txt,bio0001,train,480,360,2,1,1,0
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/train/bio0001_frame0000031_38415802_fa05b0f6c4.jpg,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/train/bio0001_frame0000031_38415802_fa05b0f6c4.txt,bio0001,train,480,360,2,1,1,0
