image_path,image_sha256,label_path,label_sha256,pair_sha256,split,sequence_id
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000001_79767514_a8df2d2891.jpg,c068d0ae13c1cdb5cee8510a2c237a0a7d65a60953c16354c3adcf1fc1d9d15e,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000001_79767514_a8df2d2891.txt,d96b00cd6d4d39fd66ef66f1b7ab972220141557dd3be766810e94a6bffbb754,bbcb48f6a6409947303b344755dbcf29fb9d396dd4d4fd76a63476850011d1be,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000002_30922509_a66c554fd2.jpg,4090f78dfd90a59ddaf1baedaef89e45a1de1ca62649bce5d2e12f434b433a18,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000002_30922509_a66c554fd2.txt,ee678ae8d95003ed2f4065c7fba3aa028b5ba1a9e20e0576786fb275bea50d05,94282639a9dedc7d393bb834b4f29da2092a7973638728d919535b53d3aeed99,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000004_14562768_3e4bf2be08.jpg,fc2463283eacc5c38db24b237d972a88a752df916c03d2b7308faf0a136e26e9,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000004_14562768_3e4bf2be08.txt,266e8b75e0c88e9bbbba18c57f1a5c5f8a043014bb53f66ae3cfb0a359105cbb,f74eb3ea59ea66e971b915aacd2eb13a3c4ce9ba012e6de892cf6844a5f5d86f,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000006_7654111_53b1f95bab.jpg,63760806c59628ebdad07697e2b4b2737155ac03470cc608d7a8d148e70a7015,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000006_7654111_53b1f95bab.txt,fcb59a5f0d32a9ca8b8631460a63dee14358954fc5da6ffdb0713152670ad86d,737225883bb74be08e4cf2d4089deea76a1378046e6265beb3d0c1307c041e0b,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000008_12664604_4d529500dd.jpg,2715c6cfe3f49e134991633d8853dc5d9dd39bdd96314430c200ccd0242ddd4c,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000008_12664604_4d529500dd.txt,77996bef66f8488c6d6d98879661c73e480a0101c6d1f75a14dfd2ec123c1c1b,2bdbc76f0aa29746f0ee7c80edfd88d37738b1beddab1db7c25c1149d2cd1d0c,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000010_55940515_be52c39224.jpg,4d69d6903dc3d88db1872827c450773fe855ddc1a4d103e69cb215db50186132,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000010_55940515_be52c39224.txt,5d4360d55a382c84e187872e29318d31097bebf264b9471ca5e1ba2ad1b8c7e0,0f5bfddfd7427218f534fec447836bc31cec7014aa7dc0c546bfd0c6b8b4cb2d,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000012_79542384_90e774c36c.jpg,9a9f03f1e7ffca9078d654d6777260c684d2ab20683852d1ac17db7a9e0248f1,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000012_79542384_90e774c36c.txt,5de0671879886083da28a06672e7d3bfc9ab50d291f4dc570cf9c5acf3875e64,1a6c047e34b477ed3138174474dca167407d83514ebb0f7f214766823a815571,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000014_47791680_378682fcb7.jpg,da9e39b03f3adc45a325c3d77fb4135e71a941240068921278fea7abd5ea54b4,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000014_47791680_378682fcb7.txt,f8da735fae977de0862a1112d7e9f43530d4d3a9669f5bcd4614c3ea7e3e3bec,5bcfd8fda4de2829e2711d851501cd4ec90ed4c52603a425ae35745f70e31cda,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000016_92318997_3abc33c8b4.jpg,fda1af0ee30256ca0eccdc884c7dd2d0e550d1771ebf6d663fd76a5170804178,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000016_92318997_3abc33c8b4.txt,18fcd132802453cdb3efb172a4a219ba4d5b3289ba6f403534da80bb945ef834,2269809f132057c776b50696b1790e60b714117a22b7eb019a30f98d05be18ed,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000017_87878413_e7f3aa2286.jpg,50a12f249c8fabc559f599500ac3dd86196840c1bc3882759394c908768c027d,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000017_87878413_e7f3aa2286.txt,9b053772a58ab6e5808779b42346825a5d7b635d7a4399aef9ca5d595d1b3faa,1db264f37a62226ef95bcadbdf10fc93991b2f8a4b078e1254abb5bd475ff97b,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000019_88520164_99270d6542.jpg,920a53e6ef6c2ec52bb8fc4e51b3605d8a05251eedb6c9c8de3fb7267b96f2bd,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000019_88520164_99270d6542.txt,0549543b7947e38d75a3a65c2db9e7dfae8f0dec77e37bc29700b1d27072d018,d8262f7914931f7ea724205233adbe8ddd54aff6a89aebccbc37e2440c184b22,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000021_34482066_ef38a637cf.jpg,d71228bc0bdc9e413d41983b5d18189f15ac2ef81ef232bd8136a4559535c2a2,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000021_34482066_ef38a637cf.txt,0193cd06c0f12352e6ebe511c61b020af5368143a5fc7a7a427bbbf5772191b2,277209e4b08ba9b89af89393e1b82696c57175fe7f35b8fd559cf6ae37d7be18,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000023_40331331_83f960e360.jpg,12fa0cf0cb30ad5fc31fb9b63c0557e2098f29e3637f1a2525768b48c6dc5778,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000023_40331331_83f960e360.txt,d0f5f722de132ae83801edc34a8125be51a22642e3e726406be38c3744bbe445,d82102de68d49ddccfa6d7e10463cfdc90d66e8c851f31ab6bf1f886cd7526ac,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000025_51241154_3cb5b00606.jpg,cc37c4f6566a9a14080a11b45f1e1ca6e929179338ad5b465aeb1b233289cd55,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000025_51241154_3cb5b00606.txt,e7cfa4643fbee069115e15e9668abdd298fb26fb15969377a3e3ab5a71044e3e,81f2aaf36afec5bf973c6c02e92fc429e9b0b741c1d063e02593b086d50ccfab,test,bio0000
tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/images/test/bio0000_frame0000027_43213892_732deb6c70.jpg,2fe20f678ab1cb896f2a72345599029ee796c3d65626dac14389f58663123b85,tmp/sequence_safe_build/prepared_datasets/trash_icra19_clean/labels/test/bio0000_frame0000027_43213892_732deb6c70.txt,491fc493bdbacd4f6e27fd0740ae6eac0b09b1cd65f4c2d2bc280ea3391b9f6c,5403ff69368d4c048224e3aa7d692d922d6d7f3515d28998a95ed8053240bc45,test,bio0000
