archive_path,image_member,label_member,xml_member,original_split,split,width,height,object_count,bottle_count,grass_count,branch_count,milk-box_count,plastic-bag_count,plastic-garbage_count,ball_count,leaf_count,image_sha256,label_sha256,pair_sha256
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000006.jpg,datasets/RFT/labels/test/000006.txt,datasets/RFT/xml/000006.xml,test,external_test,416,416,1,0,1,0,0,0,0,0,0,2c4c331f45e076919951f56c7a053af906da8c267c97aadc7ae10a266685c76b,8cadf4ea6209a731c8456fe0f32c262bd0eb271a951483d008921f35534288d7,e70c91e8bc23bfde5fcec3cd7926d656af58dc4a5728d7890e1a0072e1b4ce01
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000015.jpg,datasets/RFT/labels/test/000015.txt,datasets/RFT/xml/000015.xml,test,external_test,416,416,5,0,0,3,2,0,0,0,0,f390fb42ee7f1b0e9cfde88fe12c7749b0385d5721cf2fd60b22e00a13a6bf33,e6d16d567f5bc92b42310be43c881c6beb618403d98d21d5b6618bfffbf2422f,818b165a2e8046a2a360d77c56c746fba8b7e2c093eee7c5938c3db72efdf857
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000019.jpg,datasets/RFT/labels/test/000019.txt,datasets/RFT/xml/000019.xml,test,external_test,416,416,2,0,0,0,1,1,0,0,0,ee54fd490816f794551f1917512f450cad562a7b9543167fb1c2d34c2c11034c,2b80872bc411f7e59fd7eae0bae86e9235730b6ab94af18d9f60d96bf1b2254a,42f9dd976a81462d7f3ab798d7d5c77401c1ed2ca648ecb12726e01552a6ab24
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000022.jpg,datasets/RFT/labels/test/000022.txt,datasets/RFT/xml/000022.xml,test,external_test,416,416,1,0,1,0,0,0,0,0,0,a18fcb14c15855a7beabb6ce588abf31f1c2412134ba60cf00989c80eaa094a3,d40a3382abf318b8a599498272cebe1ecffacf404901c1765245cf34a5898969,c7544ecf6e9de046c5e3e18a0ed502a894520611d10b449efc8c0a8c7f65b8ad
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000035.jpg,datasets/RFT/labels/test/000035.txt,datasets/RFT/xml/000035.xml,test,external_test,416,416,1,0,0,1,0,0,0,0,0,cecdd9f1460645debe2418fb438cf40156e5f0ba72f35b775f908ff42d4a0524,5f5698a7812a84afd22279124abd436532f88577449639e8a89edc63dfe7759e,251b523faa464dabb1ac5e3a787ff8806f0bb153a146bae07bae8b6a3e810473
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000043.jpg,datasets/RFT/labels/test/000043.txt,datasets/RFT/xml/000043.xml,test,external_test,416,416,3,0,0,2,1,0,0,0,0,66575e3193e4fc80b5e9ed2ff42d0f74eaf15af55aecd3b975ffb80bf82337d5,c6e3ea56e19cf7911ca852c318cbbeb767ad66e4906849162853f8660bccdee9,a69dadacf9f46a18e53a49190d2ac5fe2502edc960ea95cc5d4ff43ebaa1258f
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000046.jpg,datasets/RFT/labels/test/000046.txt,datasets/RFT/xml/000046.xml,test,external_test,416,416,4,0,0,3,1,0,0,0,0,5b2b1dbeb2412a8bdc313ef1c5153b27cf7dc0f0bcb4754241c33742e3cbf83a,47fdeb55df6cef452bce6a680f4d0311bb75abb558993dd0173a0cda0c7fd394,523dc74b7bc93e36455e1a3b491dca62aa6f357e472995d96d933c24b7aa960f
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000072.jpg,datasets/RFT/labels/test/000072.txt,datasets/RFT/xml/000072.xml,test,external_test,416,416,2,0,0,0,2,0,0,0,0,f5b989d0a9f1c25a718efb32dc79eecfa563d9b5a31bc15edb55f000f0ec2ba1,4215b8ec25edfb1e793a8252350dc6e69ef502e68419eed4e3001b0a0a1a93e4,8ca9bf5b2365b879c2409095ca976a7cbb186a068cd4f4fe7b520f30c6cc67c6
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000073.jpg,datasets/RFT/labels/test/000073.txt,datasets/RFT/xml/000073.xml,test,external_test,416,416,2,0,0,0,2,0,0,0,0,4edafb8a15e8bf24772fe9ff09dd9e5a259ba7c80a844bd1be653c3b8babeef6,1372d4c3c806fcf477c21dbee8e285471357f6167dc229575a29945861cb699a,03ea36b8e337ab41302e49ce4065ba359fc0daf1efd0061c6adab327d828395e
.data_inspection/river-floating-trash-datasets.zip,datasets/RFT/images/test/000078.jpg,datasets/RFT/labels/test/000078.txt,datasets/RFT/xml/000078.xml,test,external_test,416,416,2,0,0,1,0,0,1,0,0,3b781e22054a5c8e0ea30f97d13c9d09ca07ce0affb5537dd03c523a10fb8a82,f69642fa0540d3c2b3a3a569685ca9c0dc82b2c33863cfe4f1a6812deab8abf7,88bfef7f61f959dd65fc2fb6ffcca927a69b128dd2e5870dbbcb46326f8f9cc4
